month,zsci_monthly_or_mtd,mean_raw_contrast,mean_clim_raw_contrast,days_available,days_in_month,coverage_fraction,latest_day,contains_preliminary,status
2026-05-01,0.5780175795009044,-1.7889290977926815,-2.3669466772935857,17,31,0.5483870967741935,2026-05-31,False,month_to_date
2026-06-01,1.2305471715428855,-1.5723120371500652,-2.8028592086929507,30,30,1.0,2026-06-30,False,complete_final
2026-07-01,1.8982765670261463,-1.4679379001740487,-3.366214467200195,31,31,1.0,2026-07-31,False,complete_final
2026-08-01,2.750391058518634,-1.0550892737603956,-3.80548033227903,31,31,1.0,2026-08-31,False,complete_final
2026-09-01,3.2422033203409257,-0.7919516563415527,-4.034154976682479,24,30,0.8,2026-09-24,True,month_to_date
