time,west_sst,east_sst,raw_contrast,month,year,west_clim_sst,east_clim_sst,clim_raw_contrast,baseline_n,west_ssta,east_ssta,zsci_monthly,zsci_from_components,zsci_smoothed_5m
1981-09-01,28.779392008438393,24.55657981794,-4.2228121904983915,9,1981,28.809879111961003,24.910017659108487,-3.8998614528525137,30,-0.03048710352260997,-0.35343784116848553,-0.3229507376458778,-0.32295073764587556,
1981-10-01,28.871879604687823,24.767293467660654,-4.1045861370271695,10,1981,28.92041281342971,24.935688103711282,-3.984724709718428,30,-0.048533208741886824,-0.16839463605062832,-0.1198614273087415,-0.1198614273087415,
1981-11-01,29.041898474261618,24.54074460574675,-4.501153868514869,11,1981,28.9739795748146,25.013209584956392,-3.960769989858201,30,0.06791889944701879,-0.4724649792096436,-0.5403838786566681,-0.5403838786566624,-0.24588437028825572
1981-12-01,28.73043472326986,25.0233445112887,-3.7070902119811606,12,1981,28.778553990862857,25.16765573708327,-3.61089825377959,30,-0.04811926759299823,-0.14431122579457067,-0.09619195820157067,-0.09619195820157245,-0.15148093323681802
1982-01-01,28.48684228796541,25.785265789241876,-2.701576498723533,1,1982,28.528958647172125,25.645348183104172,-2.883610464067951,29,-0.04211635920671597,0.1399176061377041,0.1820339653444183,0.18203396534442007,-0.09263624351669189
1982-02-01,28.479391490388473,26.206405318767995,-2.2729861716204773,2,1982,28.397628123556167,26.362734150725736,-2.0348939728304347,29,0.08176336683230545,-0.15632883195774028,-0.23809219879004262,-0.23809219879004573,-0.13692743044647745
1982-03-01,28.599848764320566,26.77395504528883,-1.8258937190317361,3,1982,28.505902064828412,26.97654277974315,-1.5293592850852682,29,0.09394669949215384,-0.202587734454319,-0.29653443394646795,-0.29653443394647283,-0.19445161654765744
1982-04-01,29.01118988032751,27.226848916715376,-1.7843409636121343,4,1982,28.76753315769216,27.234259200269864,-1.533273957422295,29,0.24365672263535032,-0.007410283554488473,-0.25106700618983924,-0.2510670061898388,-0.1287376131039111
1982-05-01,29.410158068515607,27.428561495053614,-1.9815965734619923,5,1982,29.001680842735148,26.88192228246395,-2.119758560271202,29,0.40847722578045875,0.546639212589664,0.13816198680920966,0.13816198680920522,0.04482851853765239
1982-06-01,29.38174586675596,26.89223771599149,-2.4895081507644683,6,1982,28.95491155394823,26.292777195469522,-2.6621343584787094,29,0.4268343128077312,0.5994605205219692,0.1726262077142411,0.17262620771423798,0.2906137608345798
1982-07-01,28.681453663768455,25.990861670950064,-2.6905919928183906,7,1982,28.791823880710215,25.584080783303573,-3.207743097406643,29,-0.11037021694176019,0.4067808876464909,0.5171511045882524,0.5171511045882511,0.6212120679944833
1982-08-01,28.523295004438314,25.926684265768934,-2.59661073866938,8,1982,28.7117226587842,25.033123888959377,-3.6785987698248257,29,-0.1884276543458867,0.8935603768095568,1.0819880311554457,1.0819880311554435,1.0424128480760413
1982-09-01,28.74858355147084,26.332657792780847,-2.415925758689994,9,1982,28.809879111961003,24.910017659108487,-3.8998614528525137,30,-0.06129556049016216,1.4226401336723598,1.4839356941625197,1.483935694162522,1.5186501216571249
1982-10-01,28.905609881895682,26.92600062050141,-1.9796092613942733,10,1982,28.92041281342971,24.935688103711282,-3.984724709718428,30,-0.014802931534028119,1.9903125167901266,2.0051154483241547,2.0051154483241547,1.983309040967319
1982-11-01,28.818766153461997,27.36759330381216,-1.4511728496498364,11,1982,28.9739795748146,25.013209584956392,-3.960769989858201,30,-0.1552134213526024,2.354383718855768,2.5095971402083648,2.5095971402083705,2.3539386503404556
1982-12-01,28.895378282613027,28.001140192876548,-0.8942380897364792,12,1982,28.778553990862857,25.16765573708327,-3.61089825377959,30,0.11682429175017006,2.833484455793279,2.7166601640431107,2.716660164043109,2.507019069213529
1983-01-01,28.626669885432015,28.302672133351752,-0.32399775208026327,1,1983,28.528958647172125,25.645348183104172,-2.883610464067951,29,0.09771123825989037,2.65732395024758,2.559612711987688,2.5596127119876897,2.3732679372488183
1983-02-01,28.39197707283707,28.361926269484226,-0.030050803352843047,2,1983,28.397628123556167,26.362734150725736,-2.0348939728304347,29,-0.005651050719098549,1.99919211875849,2.0048431694775917,2.0048431694775886,2.066724751867769
1983-03-01,28.498430979806038,28.53572895298537,0.03729797317933148,3,1983,28.505902064828412,26.97654277974315,-1.5293592850852682,29,-0.0074710850223738134,1.559186173242221,1.5666572582645997,1.5666572582645948,1.8081259591613392
1983-04-01,28.61472002433582,28.76730033661641,0.1525803122805911,4,1983,28.76753315769216,27.234259200269864,-1.533273957422295,29,-0.1528131333563394,1.5330411363465473,1.6858542697028862,1.6858542697028867,1.7159562390936447
1983-05-01,28.975516931536514,28.654935818613865,-0.3205811129226497,5,1983,29.001680842735148,26.88192228246395,-2.119758560271202,29,-0.02616391119863337,1.7730135361499144,1.7991774473485522,1.7991774473485478,1.704099952284066
1983-06-01,29.01109186668598,28.094668012202415,-0.9164238544835648,6,1983,28.95491155394823,26.292777195469522,-2.6621343584787094,29,0.05618031273775159,1.801890816732893,1.7457105039951446,1.7457105039951415,1.608922443914772
1983-07-01,28.50826116959323,26.691656130842482,-1.8166050387507475,7,1983,28.791823880710215,25.584080783303573,-3.207743097406643,29,-0.2835627111169856,1.1075753475389085,1.3911380586558955,1.3911380586558941,1.3603711900270383
1983-08-01,28.36329869241236,25.75212644586799,-2.6111722465443705,8,1983,28.7117226587842,25.033123888959377,-3.6785987698248257,29,-0.3484239663718398,0.7190025569086131,1.0674265232804552,1.067426523280453,0.9967506664056024
1983-09-01,28.50240626217075,25.123858325843766,-3.378547936326985,9,1983,28.809879111961003,24.910017659108487,-3.8998614528525137,30,-0.30747284979025125,0.21384066673527968,0.5213135165255287,0.5213135165255309,0.5806727710425319
1983-10-01,28.338342129643824,24.561854094131387,-3.776488035512436,10,1983,28.92041281342971,24.935688103711282,-3.984724709718428,30,-0.5820706837858864,-0.37383400957989465,0.2082366742059918,0.2082366742059918,0.19540511943635044
1983-11-01,28.421299924898065,24.125221470332896,-4.296078454565169,11,1983,28.9739795748146,25.013209584956392,-3.960769989858201,30,-0.5526796499165343,-0.8879881146234965,-0.33530846470696796,-0.3353084647069622,-0.08955600980753464
1983-12-01,28.141096094791685,24.416670898688196,-3.724425196103489,12,1983,28.778553990862857,25.16765573708327,-3.61089825377959,30,-0.6374578960711723,-0.7509848383950732,-0.11352694232389915,-0.11352694232390093,-0.2108007588638731
1984-01-01,28.24154732207304,24.819055886970737,-3.4224914351023017,1,1984,28.528958647172125,25.645348183104172,-2.883610464067951,29,-0.28741132509908596,-0.8262922961334347,-0.5388809710343505,-0.5388809710343487,-0.12964652801972473
1984-02-01,28.013158392593514,26.317094715710162,-1.6960636768833517,2,1984,28.397628123556167,26.362734150725736,-2.0348939728304347,29,-0.38446973096265324,-0.045639435015573326,0.338830295947083,0.3388302959470799,0.0632761571903561
1984-03-01,28.000603777136497,26.73040844378935,-1.2701953333471465,3,1984,28.505902064828412,26.97654277974315,-1.5293592850852682,29,-0.5052982876919145,-0.24613433595379774,0.2591639517381217,0.2591639517381168,0.20299076278567632
1984-04-01,28.218448778905806,27.041845524192038,-1.1766032547137684,4,1984,28.76753315769216,27.234259200269864,-1.533273957422295,29,-0.549084378786354,-0.19241367607782678,0.35667070270852674,0.3566707027085272,0.12948245701698224
1984-05-01,28.431492271951083,26.16334503322303,-2.2681472387280515,5,1984,29.001680842735148,26.88192228246395,-2.119758560271202,29,-0.5701885707840653,-0.7185772492409193,-0.14838867845684955,-0.148388678456854,-0.11634904285866703
1984-06-01,28.409958990138374,25.203775189238446,-3.206183800899929,6,1984,28.95491155394823,26.292777195469522,-2.6621343584787094,29,-0.5449525638098542,-1.0890020062310768,-0.5440494424212194,-0.5440494424212226,-0.3312526222650299
1984-07-01,28.600931606612285,24.893526976128992,-3.7074046304832926,7,1984,28.791823880710215,25.584080783303573,-3.207743097406643,29,-0.19089227409792997,-0.6905538071745809,-0.4996615330766496,-0.49966153307665095,-0.36921358127156817
1984-08-01,28.41885485393683,24.528902318508493,-3.8899525354283355,8,1984,28.7117226587842,25.033123888959377,-3.6785987698248257,29,-0.29286780484737207,-0.5042215704508841,-0.21135376560350982,-0.21135376560351204,-0.2826100977024957
1984-09-01,28.551995107868052,24.634815114594357,-3.9171799932736953,9,1984,28.809879111961003,24.910017659108487,-3.8998614528525137,30,-0.25788400409295065,-0.27520254451412995,-0.017318540421181527,-0.017318540421179307,-0.26218995305062087
1984-10-01,28.59352832396707,24.157887167147447,-4.435641156819624,10,1984,28.92041281342971,24.935688103711282,-3.984724709718428,30,-0.32688448946263904,-0.7778009365638354,-0.4509164471011964,-0.4509164471011964,-0.36832264038442925
1984-11-01,28.66557094735983,24.11426785376967,-4.551303093590157,11,1984,28.9739795748146,25.013209584956392,-3.960769989858201,30,-0.3084086274547708,-0.8989417311867207,-0.5905331037319557,-0.5905331037319499,-0.518658030622837
1984-12-01,28.112889393039076,23.920693941114042,-4.192195451925034,12,1984,28.778553990862857,25.16765573708327,-3.61089825377959,30,-0.6656645978237812,-1.2469617959692272,-0.5812971981454442,-0.581297198145446,-0.6367213073874038
1985-01-01,27.92670476833194,24.29528982787887,-3.6314149404530696,1,1985,28.528958647172125,25.645348183104172,-2.883610464067951,29,-0.6022538788401839,-1.3500583552253005,-0.7478044763851184,-0.7478044763851166,-0.6877402488429943
1985-02-01,28.083814068692707,25.19938238724762,-2.8844316814450863,2,1985,28.397628123556167,26.362734150725736,-2.0348939728304347,29,-0.31381405486346026,-1.163351763478115,-0.8495377086146516,-0.8495377086146547,-0.6403529579736957
1985-03-01,27.953013009924057,26.045026468275573,-1.9079865416484836,3,1985,28.505902064828412,26.97654277974315,-1.5293592850852682,29,-0.5528890549043552,-0.9315163114675755,-0.3786272565632154,-0.37862725656322027,-0.5330040165839424
1985-04-01,28.2266966003931,26.367930378735508,-1.8587662216575929,4,1985,28.76753315769216,27.234259200269864,-1.533273957422295,29,-0.540836557299059,-0.8663288215343563,-0.32549226423529776,-0.3254922642352973,-0.4677716102146402
1985-05-01,28.47214310875181,25.743739770661126,-2.7284033380906827,5,1985,29.001680842735148,26.88192228246395,-2.119758560271202,29,-0.5295377339833394,-1.1381825118028246,-0.6086447778194808,-0.6086447778194852,-0.480225875453318
1985-06-01,28.4453360585715,25.28326524622104,-3.1620708123504606,6,1985,28.95491155394823,26.292777195469522,-2.6621343584787094,29,-0.5095754953767297,-1.009511949248484,-0.49993645387175123,-0.49993645387175434,-0.5109980696718033
1985-07-01,28.308741365190972,24.627780284506798,-3.680961080684174,7,1985,28.791823880710215,25.584080783303573,-3.207743097406643,29,-0.48308251551924286,-0.9563004987967751,-0.47321798327753095,-0.4732179832775323,-0.524302745982233
1985-08-01,28.373022157062373,24.133272914189245,-4.239749242873128,8,1985,28.7117226587842,25.033123888959377,-3.6785987698248257,29,-0.33870050172182786,-0.899850974770132,-0.5611504730483019,-0.5611504730483041,-0.5477771553666517
1985-09-01,28.47103991817195,23.964323005222404,-4.506716912949546,9,1985,28.809879111961003,24.910017659108487,-3.8998614528525137,30,-0.3388391937890525,-0.9456946538860826,-0.6068554600970324,-0.6068554600970302,-0.5783338927320266
1985-10-01,28.6195791527356,24.046287254806,-4.5732918979296,10,1985,28.92041281342971,24.935688103711282,-3.984724709718428,30,-0.30083366069411,-0.8894008489052823,-0.5885671882111723,-0.5885671882111723,-0.5926071190961981
1985-11-01,28.837126693599643,24.286142798401205,-4.5509838951984385,11,1985,28.9739795748146,25.013209584956392,-3.960769989858201,30,-0.1368528812149563,-0.7270667865551879,-0.5902139053402373,-0.5902139053402315,-0.5808820018707305
1985-12-01,28.605340213833415,24.389783853104248,-4.215556360729167,12,1985,28.778553990862857,25.16765573708327,-3.61089825377959,30,-0.17321377702944218,-0.7778718839790209,-0.6046581069495769,-0.6046581069495787,-0.5324268371560046
1986-01-01,28.20418588040578,24.897378360829293,-3.3068075195764877,1,1986,28.528958647172125,25.645348183104172,-2.883610464067951,29,-0.32477276676634403,-0.7479698222748787,-0.4231970555085365,-0.4231970555085347,-0.45042462192235
1986-02-01,28.18033411952327,25.80375059937658,-2.3765835201466885,2,1986,28.397628123556167,26.362734150725736,-2.0348939728304347,29,-0.21729400403289745,-0.5589835513491543,-0.3416895473162538,-0.3416895473162569,-0.34973824149571986
1986-03-01,28.423139052936335,26.610729394954742,-1.8124096579815934,3,1986,28.505902064828412,26.97654277974315,-1.5293592850852682,29,-0.08276301189207658,-0.36581338478840664,-0.2830503728963252,-0.28305037289633006,-0.28716557454428243
1986-04-01,28.425998561215675,26.786024287273918,-1.6399742739417569,4,1986,28.76753315769216,27.234259200269864,-1.533273957422295,29,-0.3415345964764853,-0.44823491299594664,-0.10670031651946177,-0.10670031651946132,-0.292164737419885
1986-05-01,28.86954088931804,26.20436357311643,-2.665177316201607,5,1986,29.001680842735148,26.88192228246395,-2.119758560271202,29,-0.13213995341710927,-0.6775587093475188,-0.5454187559304051,-0.5454187559304096,-0.2814671639247062
1986-06-01,28.857223416710593,25.943010409067554,-2.9142130076430384,6,1986,28.95491155394823,26.292777195469522,-2.6621343584787094,29,-0.09768813723763614,-0.34976678640196823,-0.252078649164329,-0.2520786491643321,-0.19451293773550576
1986-07-01,28.666867214935724,25.622580444101924,-3.0442867708338,7,1986,28.791823880710215,25.584080783303573,-3.207743097406643,29,-0.12495666577449072,0.03849966079835099,0.16345632657284304,0.1634563265728417,-0.04855552895794428
1986-08-01,28.8035978461476,25.05174602474617,-3.7518518214014307,8,1986,28.7117226587842,25.033123888959377,-3.6785987698248257,29,0.09187518736339939,0.01862213578679217,-0.073253051576605,-0.07325305157660722,0.08737932652655267
1986-09-01,28.79291385170286,25.17797460321685,-3.61493924848601,9,1986,28.809879111961003,24.910017659108487,-3.8998614528525137,30,-0.016965260258142933,0.2679569441083629,0.2849222043665036,0.28492220436650584,0.19349689824932026
1986-10-01,29.083704846095667,25.34748731734858,-3.736217528747087,10,1986,28.92041281342971,24.935688103711282,-3.984724709718428,30,0.16329203266595727,0.4117992136372983,0.24850718097134106,0.24850718097134106,0.33291622223443007
1986-11-01,29.104614857858788,25.636900114769364,-3.4677147430894237,11,1986,28.9739795748146,25.013209584956392,-3.960769989858201,30,0.1306352830441888,0.623690529812972,0.49305524676877743,0.4930552467687832,0.5051595794190444
1986-12-01,28.698909705908655,25.828298093227623,-2.8706116126810315,12,1986,28.778553990862857,25.16765573708327,-3.61089825377959,30,-0.0796442849542025,0.6606423561443542,0.7402866410985585,0.7402866410985567,0.6689630544128676
1987-01-01,28.55298552390615,26.50776535521542,-2.0452201686907294,1,1987,28.528958647172125,25.645348183104172,-2.883610464067951,29,0.02402687673402326,0.8624171721112468,0.8383902953772218,0.8383902953772235,0.7675807970887872
1987-02-01,28.384639631232904,27.173311939553308,-1.211327691679596,2,1987,28.397628123556167,26.362734150725736,-2.0348939728304347,29,-0.012988492323263046,0.8105777888275725,0.8235662811508386,0.8235662811508355,0.7629778153826158
1987-03-01,28.787862562241603,27.931297647195926,-0.8565649150456771,3,1987,28.505902064828412,26.97654277974315,-1.5293592850852682,29,0.2819604974131913,0.9547548674527775,0.6727943700395911,0.6727943700395862,0.7038889969645287
1987-04-01,28.987466258756598,28.04182032397334,-0.9456459347832578,4,1987,28.76753315769216,27.234259200269864,-1.533273957422295,29,0.21993310106443786,0.8075611237034757,0.5876280226390374,0.5876280226390378,0.6554341907003037
1987-05-01,29.089216686056663,27.65297540245459,-1.4362412836020724,5,1987,29.001680842735148,26.88192228246395,-2.119758560271202,29,0.08753584332151476,0.7710531199906399,0.6835172766691295,0.6835172766691251,0.6767559424770031
1987-06-01,29.075683991400194,27.03574660949198,-2.0399373819082136,6,1987,28.95491155394823,26.292777195469522,-2.6621343584787094,29,0.12077243745196498,0.7429694140224576,0.6221969765704958,0.6221969765704927,0.7994896452165401
1987-07-01,28.822080051213618,26.699069789186304,-2.1230102620273144,7,1987,28.791823880710215,25.584080783303573,-3.207743097406643,29,0.030256170503403013,1.1149890058827303,1.0847328353793286,1.0847328353793273,0.9828694527835641
1987-08-01,28.606455345844385,26.140566053551645,-2.46588929229274,8,1987,28.7117226587842,25.033123888959377,-3.6785987698248257,29,-0.10526731293981584,1.1074421645922676,1.2127094775320857,1.2127094775320835,1.101085796787044
1987-09-01,28.874501389814274,26.24190538987034,-2.632595999943934,9,1987,28.809879111961003,24.910017659108487,-3.8998614528525137,30,0.06462227785327102,1.3318877307618529,1.2672654529085796,1.2672654529085818,1.023278318598078
1987-10-01,29.229812312719858,25.929087412883394,-3.3007248998364638,10,1987,28.92041281342971,24.935688103711282,-3.984724709718428,30,0.3093994992901479,0.993399309172112,0.6839998098819642,0.6839998098819642,0.8034479988916512
1987-11-01,29.417857597455708,25.892504921518647,-3.525352675937061,11,1987,28.9739795748146,25.013209584956392,-3.960769989858201,30,0.4438780226411083,0.8792953365622544,0.43541731392114036,0.43541731392114613,0.5791415680767955
1987-12-01,29.121033319270044,26.094754034641166,-3.0262792846288775,12,1987,28.778553990862857,25.16765573708327,-3.61089825377959,30,0.34247932840718676,0.9270982975578974,0.5846189691507124,0.5846189691507107,0.3705699830608178
1988-01-01,28.900321845714657,26.151619152877082,-2.7487026928375755,1,1988,28.528958647172125,25.645348183104172,-2.883610464067951,29,0.3713631985425323,0.5062709697729098,0.13490777123037567,0.13490777123037745,0.13698265952136518
1988-02-01,28.646418557983306,26.324913439943323,-2.3215051180399833,2,1988,28.397628123556167,26.362734150725736,-2.0348939728304347,29,0.24879043442713922,-0.03782071078241245,-0.28661114520954856,-0.28661114520955167,-0.11986051400105942
1988-03-01,28.593497899927776,26.838858658432756,-1.7546392414950205,3,1988,28.505902064828412,26.97654277974315,-1.5293592850852682,29,0.0875958350993642,-0.13768412131039298,-0.2252799564097523,-0.22527995640975718,-0.3839245199884374
1988-04-01,28.632412959341984,26.493755001132588,-2.1386579582093965,4,1988,28.76753315769216,27.234259200269864,-1.533273957422295,29,-0.13512019835017597,-0.7405041991372769,-0.6053840007871014,-0.605384000787101,-0.7006744832856019
1988-05-01,28.66018502188185,25.375529714147984,-3.2846553077338676,5,1988,29.001680842735148,26.88192228246395,-2.119758560271202,29,-0.34149582085329655,-1.5063925683159667,-1.1648967474626657,-1.1648967474626701,-1.0636300181711769
1988-06-01,28.530015538128144,24.33846464019742,-4.191550897930725,6,1988,28.95491155394823,26.292777195469522,-2.6621343584787094,29,-0.4248960158200852,-1.9543125552721037,-1.5294165394520154,-1.5294165394520185,-1.3169101160059824
1988-07-01,28.429786992252254,23.747752243769252,-4.682034748483002,7,1988,28.791823880710215,25.584080783303573,-3.207743097406643,29,-0.3620368884579612,-1.8363285395343212,-1.4742916510763586,-1.47429165107636,-1.315697860063766
1988-08-01,28.412481711025087,23.57157690334071,-4.840904807684378,8,1988,28.7117226587842,25.033123888959377,-3.6785987698248257,29,-0.29924094775911314,-1.4615469856186678,-1.1623060378595524,-1.1623060378595547,-1.1010579848360569
